电影原名,电影别名,导演,主演,时间,国家,类型,评价人数,电影图片URL
阳光姐妹淘,阳光姊妹淘(港)  /  桑尼,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy..., 2011,韩国,剧情 喜剧,625295人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.webp
恐怖直播,死亡“动”新闻(港)  /  恐怖攻击直播(台),金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y..., 2013,韩国,剧情 犯罪 悬疑,711000人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.webp
黑客帝国3：矩阵革命,22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,..., 2003,美国,动作 科幻,484844人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.webp
背靠背，脸对脸,"背对背，脸对脸  /  Back to Back, Face to Face",黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N..., 1994,中国大陆 中国香港,剧情,168358人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.webp
心灵奇旅,灵魂奇遇记(港)  /  灵魂急转弯(台),彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·..., 2020,美国,动画 奇幻 音乐,1100578人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.webp
电锯惊魂,恐惧斗室(港)  /  夺魂锯(台),詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾..., 2004,美国,悬疑 惊悚 恐怖,592923人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.webp
三块广告牌,广告牌杀人事件(港)  /  意外(台),马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France..., 2017,英国 美国,剧情 犯罪,896746人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.webp
小丑,小丑起源电影：罗密欧  /  Romeo,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni..., 2019,美国 加拿大,剧情 犯罪 惊悚,1102681人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.webp
谍影重重3,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ..., 2007,美国 德国 法国 英国,动作 悬疑 惊悚,457232人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.webp
达拉斯买家俱乐部,续命枭雄(港)  /  药命俱乐部(台),让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon..., 2013,美国,剧情 传记 同性,493473人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.webp
