电影原名,电影别名,导演,主演,时间,国家,类型,评价人数,电影图片URL
萤火虫之墓,再见萤火虫(港)  /  萤火挽歌,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子, 1988,日本,动画 剧情 战争,431106人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.webp
战争之王,军火之王(台 / 港) ,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /..., 2005,美国 德国,剧情 犯罪,404530人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.webp
千年女优,Millennium Actress,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam..., 2001,日本,动画 剧情 爱情,306976人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.webp
步履不停,横山家之味(港 / 台) ,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu..., 2008,日本,剧情 家庭,312674人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.webp
谍影重重2,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ..., 2004,美国 德国,动作 悬疑 惊悚,387736人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.webp
血钻,血钻石(台)  /  血腥钻石,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ..., 2006,美国 德国 英国,剧情 惊悚 冒险,412466人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797308106.webp
蜘蛛侠：平行宇宙,蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,主..., 2018,美国,动作 科幻 动画 冒险,736946人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.webp
攻壳机动队,Ghost in the Shell,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka / 大冢明夫 Akio..., 1995,日本,动作 科幻 动画,202681人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2921045013.webp
魂断蓝桥,滑铁卢桥  /  断桥残梦,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·..., 1940,美国,剧情 爱情 战争,303008人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.webp
房间,不存在的房间(台)  /  抖室(港),伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson..., 2015,爱尔兰 加拿大 英国 美国,剧情 家庭,393156人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.webp
冰雪奇缘,魔雪奇缘(港)  /  冰雪大冒险,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀..., 2013,美国,喜剧 动画 奇幻 歌舞,787277人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151245053.webp
隐藏人物,NASA无名英雌(港)  /  关键少数(台),特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ..., 2016,美国,剧情 传记 历史,258338人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374067318.webp
谍影重重,叛谍追击(港)  /  神鬼认证(台),道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦..., 2002,美国 德国 捷克,动作 悬疑 惊悚,473013人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.webp
