股票代码,名称,最新价/元,涨跌幅/%,涨跌额/元,成交量/万,成交额/亿,振幅/%,最高/元,最低/元,今开/元,昨收/元,量比,换手率/%,市盈率,市净率
605588,冠石科技,46.96,10.0,4.27,391.44,1.7905618,7.75,46.96,43.65,43.65,42.69,1.32,5.35,-92.13,3.34
603893,瑞芯微,170.47,10.0,15.5,1659.56,27.36712931,10.22,170.47,154.63,155.8,154.97,2.2,3.96,85.22,18.98
603900,莱绅通灵,6.71,10.0,0.61,2029.75,1.3496707,5.08,6.71,6.4,6.4,6.1,0.74,5.94,20.31,1.19
603322,超讯通信,32.23,10.0,2.93,1141.12,3.59183162,4.57,32.23,30.89,31.22,29.3,0.8,7.24,25.36,18.25
603030,全筑股份,2.64,10.0,0.24,3900.8,1.01558546,5.83,2.64,2.5,2.51,2.4,1.54,2.96,-45.36,3.75
600939,重庆建工,2.97,10.0,0.27,3076.43,0.89271168,10.0,2.97,2.7,2.71,2.7,0.78,1.62,-32.86,0.73
600889,南京化纤,18.26,10.0,1.66,4702.87,8.3685075,10.36,18.26,16.54,16.54,16.6,3.35,12.84,-31.41,18.05
600592,龙溪股份,22.44,10.0,2.04,6711.15,14.03489862,14.95,22.44,19.39,20.0,20.4,1.55,16.8,75.16,3.6
002901,大博医疗,36.96,10.0,3.36,499.7,1.8040215854,10.83,36.96,33.32,33.32,33.6,2.01,1.73,37.1,4.79
002471,中超控股,2.97,10.0,0.27,4258.9,1.2565375635,5.56,2.97,2.82,2.83,2.7,0.68,3.26,-50.23,2.35
002034,旺能环境,17.82,10.0,1.62,738.8,1.2774759386,8.02,17.82,16.52,16.98,16.2,2.75,1.71,9.64,1.15
001316,润贝航科,39.05,10.0,3.55,366.05,1.4096458061000001,6.34,39.05,36.8,36.87,35.5,0.46,13.45,23.65,2.63
002965,祥鑫科技,53.91,10.0,4.9,1838.2,9.4545193267,9.81,53.91,49.1,49.94,49.01,1.31,11.98,32.03,2.57
000158,常山北明,22.56,10.0,2.05,9532.16,21.1039260978,10.04,22.56,20.5,20.5,20.51,1.59,6.0,-90.38,6.84
002553,南方精工,21.79,9.99,1.98,8007.2,16.9344233166,6.97,21.79,20.41,20.65,19.81,1.34,31.93,20.72,6.19
600774,汉商集团,8.98,10.05,0.82,782.12,0.7023416,0.0,8.98,8.98,8.98,8.16,1.05,2.65,239.86,1.59
000665,湖北广电,4.93,10.04,0.45,6527.8,3.0938114491000004,9.6,4.93,4.5,4.53,4.48,2.13,5.74,-12.64,1.31
603863,松炀资源,13.04,10.04,1.19,1078.36,1.35629495,10.04,13.04,11.85,11.85,11.85,2.24,5.27,-37.04,5.93
002164,宁波东力,8.99,10.04,0.82,10522.33,8.9830352076,9.3,8.99,8.23,8.28,8.17,1.77,21.93,75.47,3.44
603616,韩建河山,3.51,10.03,0.32,2207.19,0.75965418,5.33,3.51,3.34,3.35,3.19,2.39,5.79,89.06,5.79
002730,电光科技,15.8,10.03,1.44,668.9,1.05685884,0.0,15.8,15.8,15.8,14.36,0.76,1.93,69.31,3.51
603586,金麒麟,16.9,10.03,1.54,2009.87,3.26101803,9.57,16.9,15.43,15.46,15.36,3.62,10.25,11.03,1.42
002664,信质集团,17.23,10.03,1.57,2473.95,4.0848842799,11.05,17.23,15.5,15.82,15.66,2.31,6.15,308.05,2.06
002491,通鼎互联,4.61,10.02,0.42,2177.62,1.0033834345000001,0.72,4.61,4.58,4.58,4.19,1.64,1.85,10.77,2.12
002286,保龄宝,9.22,10.02,0.84,3767.17,3.4129739293,5.85,9.22,8.73,8.75,8.38,1.7,10.19,16.93,1.63
603922,金鸿顺,19.21,10.02,1.75,502.73,0.93842796,6.76,19.21,18.03,18.45,17.46,0.59,2.81,241.18,3.36
002272,川润股份,9.77,10.02,0.89,6166.44,5.8804722146,10.02,9.77,8.88,8.99,8.88,1.87,15.95,-42.32,3.19
002436,兴森科技,12.52,10.02,1.14,11709.14,14.128694899400001,10.19,12.52,11.36,11.42,11.38,2.09,7.8,564.26,4.24
002355,兴民智通,6.26,10.02,0.57,1106.88,0.6929070051999999,0.0,6.26,6.26,6.26,5.69,0.83,1.79,7.18,2.81
001256,炜冈科技,22.96,10.01,2.09,660.3,1.4322721856,10.92,22.96,20.68,21.1,20.87,1.2,17.16,31.3,2.79
600986,浙文互联,8.02,10.01,0.73,11252.85,8.90940263,4.94,8.02,7.66,7.66,7.29,1.95,7.57,27.11,2.29
603955,大千生态,24.94,10.01,2.27,2515.94,6.14943069,9.88,24.94,22.7,23.1,22.67,1.75,18.54,344.2,2.16
600463,空港股份,9.34,10.01,0.85,656.8,0.59827972,8.01,9.34,8.66,8.75,8.49,2.09,2.19,186.58,2.84
605069,正和生态,9.67,10.01,0.88,1630.53,1.56263007,6.48,9.67,9.1,9.1,8.79,1.25,19.37,12.18,2.24
603507,振江股份,26.49,10.01,2.41,4208.13,10.9391359,8.26,26.49,24.5,24.5,24.08,2.43,22.83,169.65,1.96
838810,春光智能,21.16,29.98,4.88,1371.08,2.6310214079,31.7,21.16,16.0,16.49,16.28,4.01,30.76,121.62,6.28
870199,倍益康,29.19,29.96,6.73,869.8,2.3583083918,27.25,29.19,23.07,23.07,22.46,5.88,23.38,-305.16,3.82
301387,光大同创,40.36,20.01,6.73,1117.81,4.297519516,18.32,40.36,34.2,34.2,33.63,5.05,26.36,60.49,2.62
688667,菱电电控,54.9,20.0,9.15,236.43,1.25597991,16.07,54.9,47.55,47.55,45.75,7.54,4.56,40.69,1.73
301008,宏昌科技,27.54,20.0,4.59,1235.97,3.2037840225,18.61,27.54,23.27,23.27,22.95,3.49,12.68,64.99,2.81
300005,探路者,10.15,19.98,1.69,16587.66,16.4657009259,13.59,10.15,9.0,9.0,8.46,2.7,18.78,45.46,4.24
300366,创意信息,7.16,19.93,1.19,5267.6,3.6630685316000005,19.77,7.16,5.98,6.03,5.97,2.87,9.93,-18.3,2.44
688280,精进电动-UW,6.98,19.93,1.16,5705.65,3.77325774,15.46,6.98,6.08,6.2,5.82,6.26,10.96,21.23,6.55
430510,丰光精密,23.11,17.91,3.51,898.73,1.9922641508,18.72,23.6,19.93,19.99,19.6,2.25,9.47,-449.38,10.7
300879,大叶股份,28.4,17.07,4.14,5425.62,14.2403028249,23.12,29.11,23.5,24.26,24.26,2.74,26.99,7.4,4.11
300125,*ST聆达,6.8,16.44,0.96,1821.69,1.1600036084,16.78,6.86,5.88,5.9,5.84,1.02,6.86,-16.9,-3.22
688580,伟思医疗,51.38,16.38,7.23,802.52,3.90144439,16.38,51.88,44.65,44.65,44.15,2.15,8.38,37.03,2.96
873833,美心翼申,21.8,16.08,3.02,805.77,1.6568614363,17.09,21.96,18.75,18.79,18.78,2.33,25.4,42.08,2.9
688205,德科立,59.7,15.41,7.97,1268.39,7.19187239,17.78,60.49,51.29,52.2,51.73,2.53,18.69,124.11,3.19
688588,凌志软件,14.25,14.46,1.8,3076.28,4.2930515,12.45,14.54,12.99,13.0,12.45,6.16,7.69,21.75,4.33
830896,旺成科技,20.25,14.02,2.49,600.99,1.1699115242,18.86,21.07,17.72,18.17,17.76,2.54,13.54,37.25,4.79
688411,海博思创,74.31,13.61,8.9,510.88,3.70982251,15.29,75.88,65.88,65.88,65.41,2.21,14.33,35.18,3.29
688590,新致软件,22.52,13.39,2.66,1685.11,3.73771367,14.95,22.97,20.0,20.0,19.86,3.24,6.41,94.11,4.21
301550,斯菱股份,118.9,13.24,13.9,667.38,7.5705861965,18.35,122.88,103.61,105.55,105.0,1.33,9.93,70.38,7.34
688499,利元亨,27.06,12.89,3.09,1272.09,3.38221784,8.68,27.38,25.3,25.9,23.97,3.87,7.54,89.04,2.04
