书名,价格,作者
大学生就业指导（第4版 微课版）,38.40,张福仁 孟延军 杨彬
大学生就业指导（微课版）,36.80,王仁伟 贾杏
大学生就业指导（第3版）,31.84,杨彬 王沛然 李小红
大学生就业指导（第5版 慕课版）,39.84,杨彬 孟延军 李小玺
大学生就业指导（慕课版   第2版）,31.84,通识教育规划教材编写组
大学生就业指导（慕课版   双色版）,36.00,通识教育规划教材编写组
大学生就业指导（慕课版 第3版）,36.80,陈叙龙 马文玮
大学生就业指导（第3版）,31.84,杨彬 王沛然 李小红
大学生就业指导（慕课版 双色版 第2版）,39.84,张业平 王建东  吴优
高职大学生就业指导,36.00,廖 非  邓永霞
大学生就业指导,31.84,江君
大学生就业指导,30.40,陈 亮   汤春琳   王云丰
大学生就业指导(第2版)                                       ,23.84,孟延军 王兵 主编
