股票代码,名称,现价,涨跌幅/%,涨跌,涨速/%,换手/%,量比,振幅/%,成交额,流通股,流通市值,市盈率
002355,兴民智通,6.26,10.02,0.57,0.00,1.79,0.83,--,6929.07万,6.18亿,38.70亿,7.18
001256,炜冈科技,22.96,10.01,2.09,0.00,17.16,1.20,10.93,1.43亿,3847.43万,8.83亿,31.30
600986,浙文互联,8.02,10.01,0.73,0.00,7.57,1.95,4.94,8.91亿,14.87亿,119.29亿,27.11
603955,大千生态,24.94,10.01,2.27,0.00,18.54,1.75,9.88,6.15亿,1.36亿,33.85亿,344.20
600463,空港股份,9.34,10.01,0.85,0.00,2.19,2.09,8.01,5982.80万,3.00亿,28.02亿,186.58
605069,正和生态,9.67,10.01,0.88,0.00,19.37,1.25,6.49,1.56亿,8416.13万,8.14亿,12.18
603489,八方股份,26.82,10.01,2.44,0.00,2.81,2.41,9.97,1.71亿,2.35亿,63.03亿,72.14
002189,中光学,19.26,9.99,1.75,0.00,4.47,3.77,8.79,2.19亿,2.61亿,50.30亿,亏损
002933,新兴装备,34.34,9.99,3.12,0.00,10.75,4.25,6.05,4.13亿,1.14亿,39.17亿,95.08
002422,科伦药业,36.21,9.99,3.29,0.00,3.21,2.36,13.37,14.46亿,13.06亿,472.86亿,24.76
002861,瀛通通讯,14.53,9.99,1.32,0.00,31.48,2.51,4.92,6.79亿,1.50亿,21.82亿,亏损
603185,弘元绿能,14.20,9.99,1.29,0.00,2.12,3.42,8.29,1.99亿,6.79亿,96.42亿,亏损
605133,嵘泰股份,37.98,9.99,3.45,0.00,5.12,1.10,10.80,3.49亿,1.85亿,70.23亿,42.83
603883,老百姓,20.15,9.99,1.83,0.00,7.90,3.00,10.54,11.78亿,7.59亿,152.92亿,15.28
605151,西上海,17.62,9.99,1.60,0.00,3.94,2.81,9.05,9098.17万,1.35亿,23.71亿,亏损
603040,新坐标,34.69,9.99,3.15,0.00,9.59,2.38,6.94,4.38亿,1.35亿,46.85亿,17.72
603359,东珠生态,7.60,9.99,0.69,0.00,9.69,0.63,11.43,3.22亿,4.46亿,33.90亿,亏损
002915,中欣氟材,21.37,9.98,1.94,0.00,28.08,1.23,7.05,16.93亿,2.88亿,61.61亿,558.12
002581,未名医药,6.61,9.98,0.60,0.00,10.72,5.96,15.31,2.70亿,4.01亿,26.49亿,亏损
002546,新联电子,4.96,9.98,0.45,0.00,6.72,3.78,5.54,2.61亿,8.01亿,39.74亿,9.64
002006,精工科技,17.20,9.97,1.56,0.00,5.78,2.67,9.97,4.42亿,4.55亿,78.29亿,51.43
603166,福达股份,16.43,9.97,1.49,0.00,5.78,1.13,9.71,5.83亿,6.39亿,104.99亿,40.77
002229,鸿博股份,15.88,9.97,1.44,0.00,22.85,3.99,6.79,17.46亿,4.93亿,78.31亿,23.29
002201,九鼎新材,6.51,9.97,0.59,0.00,3.43,0.32,4.90,1.33亿,6.00亿,39.07亿,64.52
688655,迅捷兴,15.00,9.89,1.35,-0.53,7.54,1.87,10.99,1.46亿,1.33亿,20.01亿,亏损
600337,美克家居,1.90,9.83,0.17,0.00,1.67,1.28,2.31,4554.76万,14.37亿,27.30亿,6.48
872190,雷神科技,32.98,9.75,2.93,0.00,9.27,2.26,6.75,2.93亿,9867.51万,32.54亿,86.84
