文件名,得分
d:\harmonit\con_bine\_ST广钢：2011年年度报告(修订版).pdf,5
d:\harmonit\con_bine\_ST建峰：2016年年度报告（更新后）.pdf,19
d:\harmonit\con_bine\_ST建峰：2017年年度报告（更新后）.pdf,19
d:\harmonit\con_bine\_ST新民：2014年年度报告.pdf,17
d:\harmonit\con_bine\_ST神火：2015年年度报告（更新后）.pdf,26
d:\harmonit\con_bine\_ST神火：2016年年度报告（更新后）.pdf,28
